,Confirmed,Country/Region,Deaths,Date,region,Recovered,Suspected,Time,Latitude,Longitude,Y,M,D,date_new
1027,298.0,Mainland China,0.0,2-5-20,Shandong,13.0,0.0,1:03,36.0000001,118.9999999,2020,02,05,05-02-2020
1028,233.0,Mainland China,1.0,2-5-20,Shanghai,12.0,0.0,0:23,31.2322758,121.4692071,2020,02,05,05-02-2020
1029,228.0,Mainland China,1.0,2-4-20,Beijing,23.0,0.0,8:33,39.906217,116.3912757,2020,02,04,04-02-2020
1030,194.0,Mainland China,0.0,2-4-20,Fujian,3.0,0.0,12:13,26.5450001,117.842778,2020,02,04,04-02-2020
1031,190.0,Mainland China,2.0,2-5-20,Heilongjiang,4.0,0.0,1:23,48.0000047,127.999992,2020,02,05,05-02-2020
1032,165.0,Mainland China,0.0,2-5-20,Shaanxi,2.0,0.0,2:43,36.0,109.0,2020,02,05,05-02-2020
1033,150.0,Mainland China,0.0,2-5-20,Guangxi,10.0,0.0,0:43,24.0,109.0,2020,02,05,05-02-2020
1034,135.0,Mainland China,1.0,2-5-20,Hebei,4.0,0.0,2:53,39.0000001,116.0,2020,02,05,05-02-2020
1035,122.0,Mainland China,0.0,2-4-20,Yunnan,5.0,0.0,23:23,25.0,102.0,2020,02,04,04-02-2020
1036,91.0,Mainland China,1.0,2-5-20,Hainan,4.0,0.0,2:53,19.2000001,109.5999999,2020,02,05,05-02-2020
1037,81.0,Mainland China,0.0,2-4-20,Liaoning,2.0,0.0,14:13,40.9975197,122.9955469,2020,02,04,04-02-2020
1038,81.0,Mainland China,0.0,2-4-20,Shanxi,4.0,0.0,23:23,37.0,112.0,2020,02,04,04-02-2020
1039,67.0,Mainland China,0.0,2-4-20,Tianjin,2.0,0.0,13:33,39.1235635,117.1980785,2020,02,04,04-02-2020
1040,64.0,Mainland China,0.0,2-5-20,Guizhou,5.0,0.0,1:23,27.0,107.0,2020,02,05,05-02-2020
1041,57.0,Mainland China,0.0,2-4-20,Gansu,4.0,0.0,15:43,38.0000001,101.9999999,2020,02,04,04-02-2020
1042,54.0,Mainland China,0.0,2-5-20,Jilin,1.0,0.0,0:43,42.9995032,125.9816054,2020,02,05,05-02-2020
1043,42.0,Mainland China,0.0,2-5-20,Inner Mongolia,1.0,0.0,1:53,43.2443242,114.3251664,2020,02,05,05-02-2020
1044,34.0,Mainland China,0.0,2-4-20,Ningxia,1.0,0.0,2:13,37.0000001,105.9999999,2020,02,04,04-02-2020
1045,32.0,Mainland China,0.0,2-5-20,Xinjiang,0.0,0.0,2:03,41.7574769,87.16738423046897,2020,02,05,05-02-2020
1046,25.0,Thailand,0.0,2-4-20,Thailand,5.0,0.0,15:33,14.8971921,100.83273,2020,02,04,04-02-2020
